index,smiles,activation
156,CC1=CN=C(N=C1NC2=CC=C(C=C2)N3CCOCC3)NC4=NC5=CC=CC=C5N4C,1
157,COC1=C(C=C2C(=C1)C(=NC(=N2)NC3CCN(CC3)CC4=CC=CC=C4)NC5=CC=C(C=C5)N6CCOCC6)OC,1
158,CN(C)C1=CC(=CC(=C1)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4C=NC(=N4)N5CCC(CC5)O)F,1
159,C1CNC(=O)C2=NC=CC2=C1C3=C(NC(=C3)N)O,1
160,CC(C)N1C2=NC=NC(=C2N=C1NC3=CC(=CC=C3)N(C)C)NC4CCN(CC4)CC5=CC=CC=C5,1
161,C1COCCN1C2=CC=C(C=C2)NC3=NC(=NC=C3)C4=CSC5=CC=CC=C54,1
162,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=C3)NC4=CC=CC=C4C5=NC=CC=N5)C(F)(F)F)OC.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,1
163,C1CN(CCN1C2=CC=CC=N2)C3=NC(=C4C(=N3)N(C=N4)CC5=CC=C(C=C5)C(F)(F)F)NC6=CC=C(C=C6)N7CCOCC7,1
164,C1C(OC2=CC=CC=C2O1)C(=O)NC3=CC=C(C=C3)C4=C5C=CNC5=NC=N4.C(=O)(C(F)(F)F)O,1
165,CN(C)C1=CC=CC(=C1)NC2=NC=CC(=N2)NCCC3=CC=C(C=C3)OC,1
166,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC(=C5C(=N4)N(C=N5)C6=CSC=C6)NCCC7=CC=C(C=C7)O,1
167,CC1=CC=CC=C1C2=CSC=C2NC3=CN(N=C3)C4=CC=CC(=C4)C(=O)NC5=CC=C(C=C5)N6CCOCC6.C(=O)(C(F)(F)F)O,1
168,CN1C=C(C=N1)C2=C(C3=NC(=NC=C3C=C2)NC4=CC=C(C=C4)C5=CN=C(C=C5)N6CCOCC6)Cl.C(=O)(C(F)(F)F)O,1
169,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC5=C(C=C4)NN=C5,1
170,CN(C)C1=CC=CC(=C1)NC2=NC3=CC(=C(C=C3C(=N2)NCC4=CC(=CC=C4)C(F)(F)F)OC)OC,1
171,CN(C)C1=CC=CC(=C1)NC2=NC(=C3C(=N2)N(C=N3)C4CCCCC4)NCCC5=CC=C(C=C5)O,1
172,CC1=NN(C(=N1)C)C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC(=CC(=C4)F)C5=NC=CO5.C(=O)(C(F)(F)F)O,1
173,CC1=NC=C(C=C1)C2=NN(C=N2)C3=CC=C(C=C3)NC4=NC=CC(=N4)C5=CN=CC6=CC=CC=C65,1
174,C1COCCN1C2=NC(=NC3=C2C=C(C=C3)C4=CNN=C4)C5COC6=CC=CC=C6O5.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,1
175,CC1=CN=C(N=C1NCC2=CC=CC=C2)NC3=CC=C(C=C3)N4CCOCC4,1
176,CC(C)N1C2=NC=NC(=C2N=C1NC3=CC(=CC=C3)N(C)C)NC4=CC=C(C=C4)N5CCOCC5,1
177,COC1=CC=C(C=C1)CCNC2=C3C(=NC(=N2)NC4=CC=C(C=C4)N5CCOCC5)N(C=N3)C6=CSC=C6,1
178,CC1=CC(=NC(=N1)NCC2=CC3=C(C=C2)OCO3)NC4=CC=C(C=C4)N5CCOCC5,1
179,C1COCCN1C2=CC=C(C=C2)NC3=CC(=NC(=N3)N)NC4=CC5=C(C=C4)OCO5,1
180,CC(C)N1C=NC2=C(N=C(N=C21)NC3=CC(=CC=C3)N(C)C)NCCC4=CC=C(C=C4)OC,1
181,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=C3)NC4=CC=CC=C4C(=O)NC5=CC=CC=C5,1
182,CC(C)N1C=NC2=C(N=C(N=C21)N3CCN(CC3)CC4=CC5=C(C=C4)OCO5)NCC6=CC(=CC=C6)C(F)(F)F,1
183,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=C3)NC4=CC=CC=C4C5=NC=NN5,1
184,CC1=CC(=NC(=N1)N2CCN(CC2)CC3=CC4=C(C=C3)OCO4)NCCC5=CC=C(C=C5)O,1
